tech,cell_type,cell_name,from_pin,to_pin,pol,slew,cap,voltage,temp,delay,wp_over_wn,wp_sum,wn_sum,is_inv,stack_pu,stack_pd,log_slew,log_cap,req_p,req_n,rc_p,rc_n,rc_eff,req_eff,inv_v,inv_temp,pn_balance
ASAP7,NORX1,NOR3x1_ASAP7_6t_L,B,Y,rise,40.0,0.023039999999999998,0.7,25.0,121.001,1.0,5.4e-08,5.4e-08,0,1,1,3.713572066704308,0.022778586889339574,18518518.51851852,18518518.51851852,426666.6666666666,426666.6666666666,426666.6666666666,18518518.51851852,1.4285714285714286,0.04,0.0
ASAP7,NANDX1,NAND2x1p5_ASAP7_6t_L,A,Y,fall,80.0,0.0028799999999999997,0.7,25.0,16.3478,1.0,5.4e-08,5.4e-08,0,1,1,4.394449154672439,0.002875860745464264,18518518.51851852,18518518.51851852,53333.33333333333,53333.33333333333,53333.33333333333,18518518.51851852,1.4285714285714286,0.04,0.0
ASAP7,NORX1,NOR5x1f_ASAP7_6t_L,B,Y,rise,320.0,0.0007199999999999999,0.7,25.0,88.4945,1.0,5.4e-08,5.4e-08,0,1,1,5.771441123130016,0.0007197409243488539,18518518.51851852,18518518.51851852,13333.333333333332,13333.333333333332,13333.333333333332,18518518.51851852,1.4285714285714286,0.04,0.0
ASAP7,NANDX1,NAND3x1_ASAP7_6t_L,A,Y,rise,80.0,0.0028799999999999997,0.7,25.0,41.5458,1.0,5.4e-08,5.4e-08,0,1,1,4.394449154672439,0.002875860745464264,18518518.51851852,18518518.51851852,53333.33333333333,53333.33333333333,53333.33333333333,18518518.51851852,1.4285714285714286,0.04,0.0
ASAP7,NORX1,NOR5x1f_ASAP7_6t_L,A,Y,rise,320.0,0.00035999999999999997,0.7,25.0,80.8112,1.0,5.4e-08,5.4e-08,0,1,1,5.771441123130016,0.00035993521554780213,18518518.51851852,18518518.51851852,6666.666666666666,6666.666666666666,6666.666666666666,18518518.51851852,1.4285714285714286,0.04,0.0
ASAP7,INVX2,INVx2_ASAP7_6t_L,A,Y,fall,10.0,0.0014399999999999999,0.7,25.0,7.16287,1.0,5.4e-08,5.4e-08,1,1,1,2.3978952727983707,0.0014389641942542826,18518518.51851852,18518518.51851852,26666.666666666664,26666.666666666664,26666.666666666664,18518518.51851852,1.4285714285714286,0.04,0.0
ASAP7,NORX1,NOR3x1_ASAP7_6t_L,A,Y,fall,5.0,0.023039999999999998,0.7,25.0,100.794,1.0,5.4e-08,5.4e-08,0,1,1,1.791759469228055,0.022778586889339574,18518518.51851852,18518518.51851852,426666.6666666666,426666.6666666666,426666.6666666666,18518518.51851852,1.4285714285714286,0.04,0.0
ASAP7,INVX1,INVx13_ASAP7_6t_L,A,Y,rise,10.0,0.7372799999999999,0.7,25.0,297.24,1.0,5.4e-08,5.4e-08,1,1,1,2.3978952727983707,0.5523206717349491,18518518.51851852,18518518.51851852,13653333.333333332,13653333.333333332,13653333.333333332,18518518.51851852,1.4285714285714286,0.04,0.0
ASAP7,NANDX1,NAND3x1_ASAP7_6t_L,C,Y,fall,320.0,0.011519999999999999,0.7,25.0,58.1803,1.0,5.4e-08,5.4e-08,0,1,1,5.771441123130016,0.011454150045115854,18518518.51851852,18518518.51851852,213333.3333333333,213333.3333333333,213333.3333333333,18518518.51851852,1.4285714285714286,0.04,0.0
ASAP7,NORX1,NOR3x1f_ASAP7_6t_L,B,Y,rise,10.0,0.0028799999999999997,0.7,25.0,50.1373,1.0,5.4e-08,5.4e-08,0,1,1,2.3978952727983707,0.002875860745464264,18518518.51851852,18518518.51851852,53333.33333333333,53333.33333333333,53333.33333333333,18518518.51851852,1.4285714285714286,0.04,0.0
ASAP7,NORX1,NOR5x1f_ASAP7_6t_L,C,Y,rise,10.0,0.023039999999999998,0.7,25.0,539.794,1.0,5.4e-08,5.4e-08,0,1,1,2.3978952727983707,0.022778586889339574,18518518.51851852,18518518.51851852,426666.6666666666,426666.6666666666,426666.6666666666,18518518.51851852,1.4285714285714286,0.04,0.0
ASAP7,NANDX1,NAND3x1_ASAP7_6t_L,C,Y,fall,160.0,0.046079999999999996,0.7,25.0,172.022,1.0,5.4e-08,5.4e-08,0,1,1,5.081404364984463,0.04504984455370874,18518518.51851852,18518518.51851852,853333.3333333333,853333.3333333333,853333.3333333333,18518518.51851852,1.4285714285714286,0.04,0.0
